genes,name,ExonLength,chr,chr_start,chr_end,WT_1_log2(cpm),WT_2_log2(cpm),DKO_1_log2(cpm),DKO_2_log2(cpm),logFC_1*WT -1*DKO,logCPM_1*WT -1*DKO,LR_1*WT -1*DKO,PValue_1*WT -1*DKO,FDR_1*WT -1*DKO
A530040E14Rik,,2323,1,85105945,85114035,5.006,4.616,5.034,5.299,-0.349,5.011,2.957,0.085481663,0.345326681
Fam216a,"family with sequence similarity 216, member A",1388,5,122364579,122372364,2.206,2.335,2.793,2.517,-0.391,2.488,2.957,0.085511502,0.345326681
Cnot1,"CCR4-NOT transcription complex, subunit 1",8390,8,95719450,95807462,7.678,7.792,8.093,7.914,-0.27,7.878,2.955,0.085591951,0.345507484
Taf1d,"TATA-box binding protein associated factor, RNA polymerase I, D",1361,9,15306213,15312104,4.215,4.214,4.486,4.525,-0.292,4.37,2.954,0.085691043,0.345763357
Eif3f,"eukaryotic translation initiation factor 3, subunit F",2891,7,108934416,108942951,9.447,9.35,9.591,9.743,-0.269,9.541,2.951,0.08582829,0.346172912
Polr1e,polymerase (RNA) I polypeptide E,3897,4,45018582,45036565,4.733,4.636,5.175,4.817,-0.322,4.857,2.944,0.08619392,0.347502883
Aak1,AP2 associated kinase 1,8272,6,86849516,86991864,2.841,3.206,3.539,3.303,-0.391,3.249,2.927,0.087110097,0.350612709
Fam193b,"family with sequence similarity 193, member B",4338,13,55539318,55571120,3.467,3.282,3.646,3.785,-0.341,3.561,2.927,0.087085958,0.350612709
Lipe,"lipase, hormone sensitive",4518,7,25379526,25398710,4.953,4.872,5.139,5.221,-0.269,5.055,2.929,0.087017335,0.350612709
Sema4a,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A",5406,3,88435958,88461182,2.533,2.642,3.261,2.732,-0.433,2.827,2.928,0.087065422,0.350612709
Mdh1,"malate dehydrogenase 1, NAD (soluble)",2567,11,21556786,21572367,8.508,8.48,8.267,8.213,0.254,8.373,2.924,0.087281703,0.351157462
Gatm,glycine amidinotransferase (L-arginine:glycine amidinotransferase),3001,2,122594466,122611303,5.467,5.854,6.122,5.879,-0.332,5.85,2.922,0.087377129,0.351395398
Tax1bp3,Tax1 (human T cell leukemia virus type I) binding protein 3,2989,11,73177082,73183162,3.957,3.945,3.547,3.707,0.322,3.803,2.92,0.08749117,0.351707967
Ahcyl2,S-adenosylhomocysteine hydrolase-like 2,11896,6,29768010,29912310,6.321,6.515,5.892,6.288,0.318,6.272,2.919,0.087563902,0.351854287
Dnase1l1,deoxyribonuclease 1-like 1,2121,X,74273216,74282337,3.384,2.868,2.491,2.869,0.458,2.945,2.915,0.08777974,0.352575283
Rai1,retinoic acid induced 1,9591,11,60105012,60199197,3.71,3.698,4.119,3.929,-0.324,3.878,2.912,0.087914038,0.352968303
Ephx2,"epoxide hydrolase 2, cytoplasmic",2035,14,66084376,66124500,2.986,2.731,3.186,3.254,-0.359,3.059,2.911,0.087970334,0.353047956
2610002M06Rik,RIKEN cDNA 2610002M06 gene,6337,X,107782750,107816334,5.228,5.239,4.846,5.056,0.279,5.102,2.901,0.088547191,0.355068736
Ccdc88a,coiled coil domain containing 88A,10891,11,29373657,29510808,3.748,3.657,3.164,3.5,0.361,3.538,2.901,0.088529436,0.355068736
Tbc1d9,"TBC1 domain family, member 9",5887,8,83165351,83272934,5.706,5.797,4.614,5.551,0.595,5.486,2.899,0.088640377,0.355169521
Zdhhc4,"zinc finger, DHHC domain containing 4",2864,5,143316488,143329256,5.381,5.197,5.543,5.582,-0.271,5.435,2.899,0.088645677,0.355169521
Rras,related RAS viral (r-ras) oncogene,1103,7,45017977,45021646,4.59,4.599,4.224,4.373,0.294,4.457,2.896,0.088790282,0.355601773
Nlrp10,"NLR family, pyrin domain containing 10",4476,7,108921859,108930158,3.562,3.142,3.697,3.792,-0.379,3.573,2.892,0.089015829,0.356357703
Sec23ip,Sec23 interacting protein,4578,7,128744869,128784836,6.24,6.509,6.701,6.595,-0.269,6.522,2.891,0.089061217,0.356392076
Coq6,coenzyme Q6 monooxygenase,3142,12,84361656,84373796,3.62,3.475,3.327,3.046,0.358,3.387,2.885,0.089384135,0.357536539
2010315B03Rik,,3914,9,124291803,124312696,4.182,3.872,4.289,4.449,-0.337,4.216,2.88,0.089675507,0.358553926
Igkv3-4,,359,6,70671788,70672377,7.795,8.054,7.785,7.314,0.362,7.761,2.877,0.089866217,0.359168158
Chd2,chromodomain helicase DNA binding protein 2,9656,7,73426690,73541746,6.394,6.394,6.553,6.717,-0.244,6.521,2.873,0.09008596,0.359897871
Scimp,SLP adaptor and CSK interacting membrane protein,1080,11,70790931,70812586,6.126,6.275,5.949,5.959,0.249,6.084,2.872,0.090158327,0.36003845
Tm6sf1,transmembrane 6 superfamily member 1,5921,7,81859000,81884434,6.476,6.183,6.096,6.028,0.275,6.207,2.871,0.090214174,0.360112966
Selk,selenoprotein K,1240,14,29968307,29975074,6.685,6.796,6.37,6.588,0.258,6.619,2.866,0.090485323,0.360815832
Stk19,serine/threonine kinase 19,3155,17,34823992,34836945,4.541,4.354,4.78,4.703,-0.292,4.606,2.866,0.090494496,0.360815832
Ucp2,"uncoupling protein 2 (mitochondrial, proton carrier)",6989,7,100493336,100502020,10.344,10.199,10.035,9.986,0.263,10.148,2.865,0.090515411,0.360815832
Zfp317,zinc finger protein 317,1824,9,19641223,19648048,3.592,3.687,3.943,3.963,-0.313,3.809,2.865,0.090539289,0.360815832
Anln,"anillin, actin binding protein",5421,9,22331213,22389206,2.827,3.368,2.793,2.574,0.438,2.928,2.86,0.090816421,0.361771379
Homez,homeodomain leucine zipper-encoding gene,5907,14,54852735,54870961,3.632,3.599,3.917,3.935,-0.311,3.783,2.857,0.090983645,0.362288496
Napsa,napsin A aspartic peptidase,2158,7,44572431,44586862,9.226,9.047,9.237,9.692,-0.343,9.321,2.853,0.091211121,0.36289585
Scai,suppressor of cancer cell invasion,11668,2,39066213,39190730,3.233,3.237,3.5,3.621,-0.328,3.412,2.853,0.091207502,0.36289585
Mov10,Moloney leukemia virus 10,4223,3,104794835,104818563,4.308,4.297,4.448,4.783,-0.324,4.475,2.85,0.091352059,0.363307325
Atp7a,"ATPase, Cu++ transporting, alpha polypeptide",8734,X,106027275,106124926,4.109,4.354,3.839,3.978,0.327,4.086,2.849,0.091450815,0.363550777
Dcaf5,DDB1 and CUL4 associated factor 5,5707,12,80335846,80436601,5.913,5.845,6.063,6.191,-0.249,6.01,2.846,0.091603387,0.364007877
Med13,mediator complex subunit 13,10840,11,86267032,86357602,6.277,6.465,6.621,6.62,-0.246,6.503,2.844,0.091734378,0.364328167
Tspyl3,TSPY-like 3,3072,2,153222369,153225441,5.386,5.194,5.671,5.477,-0.284,5.443,2.843,0.091759232,0.364328167
Mrfap1,Morf4 family associated protein 1,1648,5,36794866,36796772,7.818,7.829,7.588,7.57,0.245,7.707,2.836,0.092147489,0.365569964
Msi2,musashi RNA-binding protein 2,10405,11,88339381,88718513,5.906,5.896,6.184,6.101,-0.242,6.028,2.837,0.09211827,0.365569964
2610301B20Rik,RIKEN cDNA 2610301B20 gene,2391,4,10874497,10899425,3.388,3.414,3.669,3.771,-0.321,3.574,2.834,0.092270703,0.365908881
Ercc4,"excision repair cross-complementing rodent repair deficiency, complementation group 4",6730,16,13109683,13150617,4.546,4.668,4.863,4.901,-0.274,4.753,2.83,0.092520319,0.366331036
Fasn,fatty acid synthase,9849,11,120805939,120824178,6.212,6.359,6.62,6.455,-0.253,6.42,2.83,0.0925105,0.366331036
Prkce,"protein kinase C, epsilon",7261,17,86167784,86657919,5.657,5.704,5.935,5.921,-0.248,5.81,2.831,0.092456868,0.366331036
Rgp1,RAB6A GEF compex partner 1,6199,4,43578714,43587487,5.232,5.161,5.425,5.482,-0.257,5.332,2.83,0.092528471,0.366331036
Dnmbp,dynamin binding protein,4882,19,43847966,43912392,3.179,3.164,3.508,3.479,-0.323,3.347,2.828,0.092643443,0.366486561
Xrcc1,X-ray repair complementing defective repair in Chinese hamster cells 1,2155,7,24547149,24573438,5.688,5.645,5.866,5.971,-0.253,5.8,2.828,0.092616295,0.366486561
Cacna1i,"calcium channel, voltage-dependent, alpha 1I subunit",9862,15,80287237,80398279,5.093,5.074,5.166,5.642,-0.34,5.265,2.827,0.09270953,0.366507296
Ltb,lymphotoxin B,1516,17,35194438,35196320,8.577,8.428,8.584,9.104,-0.363,8.697,2.826,0.092762225,0.366507296
Pex11g,peroxisomal biogenesis factor 11 gamma,3397,8,3457104,3467680,2.462,2.382,2.024,2.086,0.369,2.261,2.826,0.092761372,0.366507296
Kdm5a,lysine (K)-specific demethylase 5A,14185,6,120364098,120444574,6.82,6.999,7.105,7.24,-0.262,7.049,2.824,0.092835856,0.366648624
Cacfd1,calcium channel flower domain containing 1,4693,2,27009925,27021089,5.598,5.506,5.763,5.854,-0.257,5.688,2.819,0.093176284,0.36773949
Mfsd5,major facilitator superfamily domain containing 5,1742,15,102279455,102281744,6.056,5.999,5.795,5.773,0.244,5.912,2.818,0.093229822,0.36773949
Smad7,SMAD family member 7,4521,18,75367528,75395935,4.157,4.418,4.648,4.556,-0.309,4.459,2.818,0.093224863,0.36773949
Snx11,sorting nexin 11,4232,11,96767554,96777559,5.22,5.1,4.842,4.941,0.268,5.035,2.817,0.09326396,0.36773949
Polr1a,polymerase (RNA) I polypeptide A,6105,6,71909052,71979356,5.772,5.927,6.161,6.051,-0.255,5.986,2.815,0.093382455,0.367757502
Taf6l,TATA-box binding protein associated factor 6 like,4341,19,8772521,8786417,5.841,5.852,5.628,5.563,0.251,5.727,2.815,0.093376137,0.367757502
Trmt10a,tRNA methyltransferase 10A,7976,3,138143447,138159821,2.718,2.939,2.399,2.534,0.366,2.67,2.816,0.093331945,0.367757502
Hmgn2,high mobility group nucleosomal binding domain 2,3060,4,133964737,133968650,6.096,6.1,5.978,5.594,0.3,5.957,2.813,0.093489301,0.368028613
Rasgrp2,"RAS, guanyl releasing protein 2",12384,19,6399339,6415216,7.001,6.74,6.501,6.692,0.277,6.745,2.805,0.093979547,0.369808182
Simc1,SUMO-interacting motifs containing 1,5675,13,54503778,54551290,2.388,2.595,2.727,3.005,-0.379,2.704,2.802,0.094160514,0.370369789
Pycr2,"pyrroline-5-carboxylate reductase family, member 2",1598,1,180904273,180908087,5.706,5.589,6.115,5.761,-0.301,5.807,2.796,0.094478418,0.371469345
Cnrip1,cannabinoid receptor interacting protein 1,4003,11,17051585,17079371,2.498,2.382,2.835,2.747,-0.353,2.635,2.794,0.094592645,0.371616705
St3gal1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1",4985,15,67102874,67113992,6.987,6.958,7.041,7.531,-0.334,7.15,2.795,0.094577951,0.371616705
Ankib1,ankyrin repeat and IBR domain containing 1,6610,5,3689999,3803109,6.028,6.246,6.373,6.414,-0.253,6.273,2.792,0.094723617,0.371765975
H2afj,"H2A histone family, member J",1827,6,136808243,136810070,5.792,5.254,5.256,5.096,0.37,5.376,2.791,0.094768198,0.371765975
Mycbp2,MYC binding protein 2,19248,14,103113410,103346814,6.653,6.582,6.774,6.953,-0.248,6.748,2.791,0.0947842,0.371765975
Zfp472,zinc finger protein 472,2376,17,32965813,32979233,4.33,4.462,4.105,4.102,0.295,4.261,2.792,0.094730155,0.371765975
Amdhd2,amidohydrolase domain containing 2,2728,17,24155832,24163766,4.74,4.188,4.145,4.057,0.389,4.311,2.789,0.094888792,0.372025529
Cdyl2,"chromodomain protein, Y chromosome-like 2",8087,8,116568723,116732991,4.912,4.934,4.97,5.666,-0.437,5.159,2.783,0.095269396,0.373307091
Mllt10,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10",5907,2,18055236,18212388,4.374,4.505,4.652,4.802,-0.288,4.594,2.783,0.095292764,0.373307091
Poglut1,protein O-glucosyltransferase 1,4658,16,38525136,38550258,5.707,5.644,5.449,5.397,0.252,5.556,2.781,0.095405828,0.373598882
E430018J23Rik,RIKEN cDNA E430018J23 gene,3334,7,127389672,127393629,2.948,2.738,3.317,3.085,-0.36,3.043,2.778,0.095572613,0.37410072
Ssfa2,sperm specific antigen 2,5599,2,79635351,79672966,5.468,5.592,5.038,5.393,0.305,5.388,2.777,0.095614033,0.374111635
H2-Eb1,"histocompatibility 2, class II antigen E beta",1184,17,34305876,34316199,12.592,12.453,12.684,12.915,-0.28,12.671,2.774,0.095792043,0.374656761
Rilpl2,Rab interacting lysosomal protein-like 2,1391,5,124463264,124478366,6.991,7.028,6.794,6.753,0.237,6.897,2.773,0.095881213,0.374854123
Cul1,cullin 1,4058,6,47453397,47526139,6.804,6.586,6.956,6.948,-0.253,6.831,2.756,0.096881186,0.378458009
Ticam2,toll-like receptor adaptor molecule 2,3928,18,46559154,46574533,3.029,3.041,3.513,3.239,-0.348,3.224,2.757,0.096852485,0.378458009
Dusp11,dual specificity phosphatase 11 (RNA/RNP complex 1-interacting),7639,6,85942267,85961667,7.233,7.209,7.512,7.415,-0.243,7.348,2.755,0.096947756,0.378565352
Ap5m1,"adaptor-related protein complex 5, mu 1 subunit",3165,14,49066494,49087723,4.618,4.666,4.986,4.839,-0.272,4.787,2.751,0.097168893,0.379275921
Gm15800,predicted gene 15800,16416,5,121220218,121368577,4.338,4.282,4.644,4.54,-0.283,4.46,2.748,0.097351782,0.379494088
Ighv1-75,,351,12,115833949,115834396,5.233,5.438,5.424,6.792,-0.926,5.876,2.749,0.097296665,0.379494088
Slc1a5,"solute carrier family 1 (neutral amino acid transporter), member 5",4156,7,16781345,16798274,6.994,6.546,7.182,7.035,-0.323,6.958,2.749,0.097324379,0.379494088
Vps29,vacuolar protein sorting 29 (S. pombe),3089,5,122354368,122364984,5.85,5.82,5.657,5.493,0.258,5.713,2.748,0.097381538,0.379494088
Nr2c1,"nuclear receptor subfamily 2, group C, member 1",4607,10,94148022,94197211,3.305,3.344,2.793,3.124,0.358,3.163,2.746,0.097471532,0.379692001
Hsbp1,heat shock factor binding protein 1,1163,8,119344537,119348927,6.396,6.391,6.136,6.189,0.23,6.283,2.746,0.097525021,0.379747608
Gpd1l,glycerol-3-phosphate dehydrogenase 1-like,5077,9,114899340,114933987,7.368,7.299,7.047,7.133,0.243,7.218,2.739,0.097951718,0.381255801
Pvt1,,6996,15,62037985,62378096,2.259,2.306,2.446,2.888,-0.404,2.507,2.733,0.098315906,0.382497152
Tia1,cytotoxic granule-associated RNA binding protein 1,12945,6,86404218,86433403,4.435,4.852,5.076,4.901,-0.332,4.836,2.732,0.098349639,0.382497152
Slc39a1,"solute carrier family 39 (zinc transporter), member 1",2364,3,90248171,90253612,6.688,6.71,6.537,6.388,0.235,6.587,2.73,0.09846908,0.382807935
Pnp,purine-nucleoside phosphorylase,3085,14,50944301,50965237,6.82,6.851,6.613,6.6,0.229,6.726,2.728,0.098628955,0.383275601
Traf3,TNF receptor-associated factor 3,7350,12,111166369,111267153,5.659,5.891,6.149,5.955,-0.276,5.925,2.726,0.098696795,0.383385385
Zfp810,zinc finger protein 810,3238,9,22276747,22307638,3.19,2.587,3.266,3.423,-0.429,3.154,2.722,0.098962556,0.384263588
Btbd10,BTB (POZ) domain containing 10,5801,7,113315625,113369392,4.494,4.449,4.213,4.164,0.283,4.34,2.721,0.099017066,0.38432115
Smim19,small integral membrane protein 19,1458,8,22462614,22476879,5.068,4.847,4.547,4.773,0.297,4.822,2.719,0.099165552,0.384743272
Zfp526,zinc finger protein 526,3354,7,25221450,25227507,3.379,3.164,3.662,3.55,-0.333,3.455,2.717,0.099301534,0.385116563
Slamf7,SLAM family member 7,1082,1,171634924,171649007,4.965,5.269,4.719,4.916,0.304,4.983,2.713,0.099553332,0.385938538
Hscb,HscB iron-sulfur cluster co-chaperone,905,5,110829069,110839777,5.163,5.1,5.329,5.444,-0.256,5.267,2.709,0.099761868,0.386283059
Tmem173,transmembrane protein 173,2302,18,35733677,35740554,7.473,7.617,7.764,7.827,-0.249,7.677,2.711,0.099683108,0.386283059
Trim8,tripartite motif-containing 8,3230,19,46501647,46516444,5.535,5.773,5.464,5.285,0.282,5.526,2.71,0.0997471,0.386283059
Wdr18,WD repeat domain 18,2954,10,79960151,79969246,5.401,5.361,5.178,5.074,0.254,5.261,2.707,0.09990183,0.386670392
Sppl2a,signal peptide peptidase like 2A,8665,2,126890390,126933235,7.377,7.444,7.115,7.219,0.243,7.295,2.703,0.100133808,0.387413423
Chic1,cysteine-rich hydrophobic domain 1,7375,X,103356475,103396092,2.656,3.211,3.159,3.659,-0.472,3.221,2.702,0.100226412,0.387435313
Pik3r6,"phosphoinositide-3-kinase, regulatory subunit 6",3622,11,68503018,68552698,2.748,2.391,3.006,2.894,-0.373,2.784,2.702,0.100243822,0.387435313
Pinx1,"PIN2/TERF1 interacting, telomerase inhibitor 1",1351,14,63860311,63919859,3.44,3.547,3.883,3.736,-0.318,3.665,2.701,0.100299497,0.387435313
Tmed5,transmembrane emp24 protein transport domain containing 5,7688,5,108106365,108132620,7.113,7.204,6.917,6.925,0.239,7.045,2.701,0.100266063,0.387435313
Phka2,phosphorylase kinase alpha 2,6068,X,160502165,160598878,4.083,4.129,3.779,3.839,0.297,3.968,2.699,0.100384037,0.387607262
Gimap1,"GTPase, IMAP family member 1",1872,6,48739053,48743790,5.52,5.515,5.682,5.864,-0.258,5.653,2.697,0.100552144,0.387792497
Nisch,nischarin,13198,14,31170929,31216946,5.91,5.863,5.717,5.539,0.257,5.765,2.697,0.100533322,0.387792497
S1pr5,sphingosine-1-phosphate receptor 5,2500,9,21242911,21248443,5.229,4.808,4.759,4.659,0.325,4.882,2.697,0.100535705,0.387792497
Slc35f5,"solute carrier family 35, member F5",2956,1,125560594,125595820,4.537,4.691,4.9,4.872,-0.27,4.759,2.696,0.100602045,0.387830497
Kdm2a,lysine (K)-specific demethylase 2A,14294,19,4314418,4398285,7.434,7.676,7.786,7.861,-0.264,7.698,2.694,0.100746363,0.388232304
Adar,"adenosine deaminase, RNA-specific",6786,3,89715021,89753446,7.085,7.149,7.318,7.395,-0.24,7.242,2.688,0.101089574,0.38928481
Arid5b,AT rich interactive domain 5B (MRF1-like),4494,10,68095592,68278726,3.922,4.15,4.528,4.209,-0.336,4.221,2.687,0.101140085,0.38928481
Gmip,Gem-interacting protein,5552,8,69808678,69821870,6.723,6.497,6.909,6.823,-0.252,6.747,2.688,0.101121193,0.38928481
Glt8d1,glycosyltransferase 8 domain containing 1,2521,14,31001392,31012441,3.957,3.72,3.256,3.659,0.372,3.673,2.686,0.101237116,0.389503467
2310022B05Rik,RIKEN cDNA 2310022B05 gene,3297,8,124635765,124663369,3.683,3.587,3.17,3.423,0.334,3.483,2.685,0.10132701,0.389694506
Lrrc57,leucine rich repeat containing 57,2227,2,120604237,120609520,4.225,4.232,3.669,4.074,0.343,4.07,2.68,0.101610181,0.390628421
Nin,ninein,10345,12,70011434,70111925,5.696,5.692,5.979,5.893,-0.243,5.821,2.679,0.101653122,0.390638426
Ddx52,DEAD (Asp-Glu-Ala-Asp) box polypeptide 52,3332,11,83942061,83963088,6.24,5.991,6.346,6.403,-0.254,6.254,2.676,0.101857325,0.391267884
Apaf1,apoptotic peptidase activating factor 1,9028,10,90989310,91082770,5.785,6.063,6.149,6.242,-0.266,6.07,2.67,0.10227822,0.3927289
Fzd5,frizzled class receptor 5,6915,1,64730557,64737751,2.813,3.185,2.585,2.689,0.375,2.844,2.669,0.102349477,0.392778378
Ttc38,tetratricopeptide repeat domain 38,3842,15,85832305,85858822,4.602,4.456,4.766,4.841,-0.274,4.676,2.668,0.102372225,0.392778378
Stra13,stimulated by retinoic acid 13,1077,11,120710941,120713738,4.97,4.827,4.675,4.584,0.27,4.773,2.666,0.102497416,0.393102959
Sepsecs,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,5347,5,52640086,52669729,3.986,4.03,4.302,4.286,-0.286,4.161,2.665,0.102581058,0.393267999
Zc3h13,zinc finger CCCH type containing 13,6151,14,75284372,75344426,4.948,4.878,5.212,5.124,-0.256,5.048,2.656,0.103190799,0.395449028
Fyttd1,forty-two-three domain containing 1,6076,16,32877499,32908963,5.68,5.709,5.973,5.897,-0.241,5.821,2.652,0.103413543,0.396145866
Ip6k2,inositol hexaphosphate kinase 2,1842,9,108795993,108806333,4.149,4.328,4.409,4.685,-0.313,4.408,2.649,0.103588755,0.396660143
Stam2,signal transducing adaptor molecule (SH3 domain and ITAM motif) 2,6007,2,52691663,52742281,5.082,5.133,5.366,5.344,-0.248,5.238,2.647,0.103777001,0.397223905
Procr,"protein C receptor, endothelial",2031,2,155751116,155755471,2.55,3.018,3.371,3.04,-0.413,3.029,2.645,0.103893219,0.39751163
Tmed3,transmembrane emp24 domain containing 3,1347,9,89699204,89705068,6.154,6.125,5.771,5.995,0.252,6.02,2.643,0.104038283,0.397909453
Inpp5b,inositol polyphosphate-5-phosphatase B,4657,4,124741849,124801511,5.053,5.08,5.309,5.318,-0.247,5.197,2.641,0.104134602,0.397963491
Sbf1,SET binding factor 1,6826,15,89288235,89315311,6.439,6.422,6.748,6.577,-0.234,6.553,2.641,0.104128453,0.397963491
Sh3gl1,SH3-domain GRB2-like 1,2072,17,56016752,56036637,5.507,5.398,5.788,5.63,-0.258,5.589,2.639,0.104282715,0.398372313
Knstrn,kinetochore-localized astrin/SPAG5 binding,5158,2,118814002,118853957,4.526,4.577,4.43,3.891,0.367,4.382,2.637,0.104429277,0.398774889
Chek2,checkpoint kinase 2,2247,5,110840016,110874133,3.275,3.242,3.055,2.761,0.345,3.102,2.635,0.104542199,0.399048742
Rdx,radixin,4841,9,52047149,52088737,6.606,6.574,6.285,6.429,0.231,6.48,2.633,0.104643332,0.399277394
Klhdc2,kelch domain containing 2,5438,12,69296680,69310687,4.923,5.001,5.608,5.012,-0.378,5.165,2.628,0.105009984,0.400518586
Mfsd6,major facilitator superfamily domain containing 6,6816,1,52656285,52727462,3.168,3.159,3.473,3.475,-0.311,3.332,2.627,0.105078852,0.400583656
Upf3b,UPF3 regulator of nonsense transcripts homolog B (yeast),3999,X,37091677,37110322,3.668,3.724,4.009,3.975,-0.297,3.855,2.626,0.105109776,0.400583656
Gm4944,predicted gene 4944,4880,17,22197264,22225614,4.388,4.471,3.534,4.303,0.461,4.221,2.62,0.105498063,0.401905287
Fbxl5,F-box and leucine-rich repeat protein 5,9788,5,43744615,43821639,6.576,6.573,6.404,6.289,0.227,6.466,2.619,0.105560345,0.401984419
Slc7a5,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 5",3708,8,121881149,121907694,4.433,4.449,5.08,4.498,-0.378,4.644,2.619,0.105621373,0.402058716
Cinp,cyclin-dependent kinase 2 interacting protein,2029,12,110872609,110889145,4.05,4.159,3.86,3.754,0.299,3.967,2.615,0.105839921,0.402127014
Eef1e1,eukaryotic translation elongation factor 1 epsilon 1,1032,13,38645697,38659028,4.856,5.077,4.764,4.613,0.281,4.839,2.615,0.105846939,0.402127014
Fbxo6,F-box protein 6,2207,4,148145715,148152140,4.912,4.651,4.462,4.534,0.289,4.652,2.615,0.105830346,0.402127014
Pecam1,platelet/endothelial cell adhesion molecule 1,4314,11,106654216,106750628,7.872,7.61,7.408,7.545,0.269,7.619,2.616,0.105806719,0.402127014
Reep4,receptor accessory protein 4,1668,14,70545250,70548933,5.002,4.976,4.87,4.438,0.319,4.84,2.617,0.105749185,0.402127014
Hddc2,HD domain containing 2,3509,10,31313381,31328204,4.522,4.269,4.648,4.736,-0.292,4.556,2.613,0.105973259,0.402355193
Klhl25,kelch-like 25,3385,7,75848337,75874130,4.742,4.772,4.967,5.054,-0.255,4.891,2.613,0.105990097,0.402355193
Brd4,bromodomain containing 4,8402,17,32196273,32284722,6.634,6.66,6.95,6.809,-0.234,6.769,2.61,0.106162475,0.40253618
Sh2d3c,SH2 domain containing 3C,5233,2,32721054,32755512,6.679,6.474,6.395,6.273,0.245,6.463,2.611,0.106135279,0.40253618
Sla,src-like adaptor,9186,15,66780818,66831829,6.428,6.525,6.571,6.905,-0.271,6.619,2.612,0.106084436,0.40253618
2700089E24Rik,,2738,6,133105238,133110899,5.275,5.285,4.892,5.124,0.268,5.154,2.61,0.106208688,0.40255379
Tmed7,transmembrane emp24 protein transport domain containing 7,8839,18,46560234,46597535,7.367,7.456,7.145,7.205,0.237,7.299,2.608,0.106329053,0.402852328
Calu,calumenin,4733,6,29348068,29377110,7.254,7.4,7.124,7.047,0.243,7.213,2.607,0.106415057,0.403020496
Cd37,CD37 antigen,3538,7,45233631,45239115,9.619,9.496,9.633,10.099,-0.326,9.731,2.604,0.106620355,0.403505338
Igkv1-135,,362,6,67609744,67610508,8.131,8.561,8.634,8.705,-0.308,8.524,2.604,0.106626411,0.403505338
Hmgb1,high mobility group box 1,4944,5,149046701,149053513,6.618,6.734,6.528,6.339,0.241,6.562,2.601,0.106765677,0.403709182
Ints9,integrator complex subunit 9,2677,14,64950044,65039835,5.592,5.558,5.988,5.695,-0.274,5.719,2.601,0.106805341,0.403709182
Ly6a,"lymphocyte antigen 6 complex, locus A",1205,15,74994876,74998031,9.627,9.79,9.768,10.349,-0.377,9.911,2.602,0.106723634,0.403709182
Ubxn8,UBX domain protein 8,2817,8,33619585,33641976,5.055,4.976,4.644,4.844,0.268,4.89,2.597,0.107075293,0.404571648
Bcas3,breast carcinoma amplified sequence 3,6085,11,85353166,85826058,4.447,4.438,4.714,4.698,-0.264,4.582,2.595,0.10721828,0.40495391
Prrc2c,proline-rich coiled-coil 2C,13005,1,162670724,162740556,6.263,6.32,6.806,6.352,-0.305,6.453,2.594,0.107282855,0.40503983
Bahd1,bromo adjacent homology domain containing 1,4664,2,118900376,118924528,6.021,5.995,5.779,5.771,0.233,5.897,2.59,0.107548003,0.405452314
Ighv1-78,,294,12,115868772,115869066,3.892,5.104,5.691,5.162,-0.829,5.096,2.59,0.107508537,0.405452314
Irf1,interferon regulatory factor 1,3976,11,53770013,53778374,7.385,7.541,7.609,7.839,-0.263,7.603,2.59,0.107522414,0.405452314
Rps6ka5,"ribosomal protein S6 kinase, polypeptide 5",4406,12,100549777,100725028,4.447,4.634,4.162,4.332,0.295,4.406,2.59,0.107559582,0.405452314
Pacrgl,PARK2 co-regulated-like,1464,5,48372391,48388756,3.33,3.232,3.807,3.436,-0.352,3.472,2.586,0.107790099,0.40616316
Nubp1,nucleotide binding protein 1,3637,16,10411947,10424428,6.061,5.654,6.308,6.056,-0.316,6.039,2.585,0.107862682,0.406278574
Rps19,ribosomal protein S19,4685,7,24884370,24889806,10.234,10.163,10.405,10.482,-0.245,10.327,2.585,0.107908188,0.406291949
Pus1,pseudouridine synthase 1,2180,5,110773666,110780659,3.941,3.881,4.297,4.116,-0.298,4.071,2.582,0.108102522,0.406865458
Tor1aip2,torsin A interacting protein 2,9218,1,156035402,156068861,6.196,6.353,6.042,6.043,0.234,6.165,2.576,0.108466756,0.407919247
Trim25,tripartite motif-containing 25,5754,11,88999375,89020293,6.982,7.365,6.963,6.819,0.293,7.047,2.576,0.108465477,0.407919247
Ankrd52,ankyrin repeat domain 52,8401,10,128377114,128408704,5.043,5.197,5.682,5.194,-0.337,5.301,2.573,0.108701047,0.408641668
Sfxn3,sideroflexin 3,2966,19,45047575,45056383,5.74,5.593,5.851,5.985,-0.252,5.801,2.571,0.108853713,0.409056795
Rasgrp1,RAS guanyl releasing protein 1,5600,2,117279992,117343001,7.22,7.418,7.399,7.863,-0.328,7.496,2.57,0.108918888,0.409142946
Cd2,CD2 antigen,1741,3,101275898,101287939,8.93,8.819,8.94,9.428,-0.329,9.05,2.568,0.109016334,0.40919154
Pusl1,pseudouridylate synthase-like 1,2329,4,155887878,155891781,2.861,2.603,2.418,2.35,0.355,2.58,2.569,0.10898102,0.40919154
