genes,name,ExonLength,chr,chr_start,chr_end,WT_FoB_1_log2(cpm),WT_FoB_2_log2(cpm),DKO_FoB_1_log2(cpm),DKO_FoB_2_log2(cpm),DKO_FoB_3_log2(cpm),DKO_ABC_1_log2(cpm),DKO_ABC_2_log2(cpm),DKO_ABC_3_log2(cpm),logFC_1*WT_FoB -1*DKO_FoB,logCPM_1*WT_FoB -1*DKO_FoB,LR_1*WT_FoB -1*DKO_FoB,PValue_1*WT_FoB -1*DKO_FoB,FDR_1*WT_FoB -1*DKO_FoB,logFC_1*WT_FoB -1*DKO_ABC,logCPM_1*WT_FoB -1*DKO_ABC,LR_1*WT_FoB -1*DKO_ABC,PValue_1*WT_FoB -1*DKO_ABC,FDR_1*WT_FoB -1*DKO_ABC,logFC_1*DKO_FoB -1*DKO_ABC,logCPM_1*DKO_FoB -1*DKO_ABC,LR_1*DKO_FoB -1*DKO_ABC,PValue_1*DKO_FoB -1*DKO_ABC,FDR_1*DKO_FoB -1*DKO_ABC,ENTREZID
Polg2,polymerase (DNA directed), gamma 2, accessory subunit,4356,11,106768252,106779537,3.925,4.108,3.698,2.3,2.818,3.525,2.451,2.668,0.971,3.338,3.784,0.051745792,0.129252669,1.068,3.338,4.579,0.032366636,0.072793446,0.098,3.338,0.046,0.830014647
Il5ra,interleukin 5 receptor, alpha,1704,6,106711974,106745109,3.078,3.068,3.6,3.525,2.741,0.592,0.137,1.095,-0.264,2.706,0.353,0.552317616,0.682833959,2.444,2.706,28.327,1.02455911421613e-07,1.87700528689992e-06,2.708,2.706,39.09,4.04782754196247e-10,2.58524234171746e-08
Parp3,poly (ADP-ribose) polymerase family, member 3,3699,9,106470321,106476949,5.875,5.759,6.54,6.123,5.678,6.491,5.901,5.797,-0.338,6.056,1.07,0.300897215,0.453279047,-0.278,6.056,0.728,0.393633486,0.511971545,0.06,6.056,0.043,0.836534169,0.941518352
Rrp9,RRP9, small subunit (SSU) processome component, homolog (yeast),2788,9,106475962,106485424,6.231,6.153,5.37,5.91,5.441,4.848,5.104,4.458,0.598,5.558,4.663,0.030817607,0.088641835,1.367,5.558,24.319,8.16302818099957e-07,1.10886728287139e-05,0.768,5.558,9.222,0.00239127
Psmc5,protease (prosome, macropain) 26S subunit, ATPase 5,1394,11,106256153,106263120,7.435,7.505,6.664,7.019,7.093,6.464,6.945,6.768,0.533,7.027,4.958,0.025966083,0.078148378,0.731,7.027,9.363,0.002214032,0.008380553,0.198,7.027,0.839,0.359809619
Gvin1,GTPase, very large interferon inducible 1,9005,7,106156555,106215326,2.678,2.436,4.481,3.731,4.187,4.157,2.895,4.211,-1.609,3.779,11.218,0.000810129,0.006722969,-1.31,3.779,7.603,0.005827034,0.018235113,0.299,3.779,0.551,0.457746335,0.766256557
Slc7a6os,solute carrier family 7, member 6 opposite strand,1525,8,106200437,106210933,5.472,5.471,5.397,4.677,4.663,5.252,4.462,4.402,0.518,5.041,2.096,0.147717006,0.273874674,0.714,5.041,3.992,0.045708147,0.09549723,0.196,5.041,0.366,0.544971193,0.818377109
Twf2,twinfilin, actin-binding protein, homolog 2 (Drosophila),2129,9,106203107,106215389,7.734,7.733,6.598,7.163,6.219,7.067,7.527,6.768,1.021,7.19,9.57,0.001977609,0.012561076,0.579,7.19,3.057,0.080399367,0.149785123,-0.442,7.19,2.176,0.140212395
Slc7a6,solute carrier family 7 (cationic amino acid transporter, y+ system), member 6,3730,8,106168874,106198704,4.816,4.968,5.537,5.09,5.83,5.512,5.251,5.539,-0.624,5.355,4.936,0.026300551,0.078855398,-0.546,5.355,3.791,0.051522572,0.10482241,0.078,5.355,0.101,0.750357742
Pla2g15,phospholipase A2, group XV,2704,8,106150398,106164713,5.315,5.417,5.125,4.868,3.99,5.933,5.825,5.642,0.633,5.369,3.633,0.056646142,0.138207979,-0.439,5.369,1.682,0.194617767,0.298216432,-1.071,5.369,12.526,0.000401404,0.005389345
Nfatc3,nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3,6014,8,106059602,106130537,7.696,7.682,8.101,8.222,8.33,7.72,7.816,8.348,-0.532,8.015,4.278,0.038599365,0.104400715,-0.299,8.015,1.375,0.240966558,0.351891537,0.232,8.015,1.052,0.305078324
Zcchc2,zinc finger, CCHC domain containing 2,6774,1,105990405,106034074,6.113,5.989,6.349,6.191,6.054,6.126,5.717,6.274,-0.15,6.114,0.38,0.537838712,0.670932795,-0.005,6.114,0,0.985139337,0.990020929,0.146,6.114,0.45,0.502254743,0.795342474
Atp7a,ATPase, Cu++ transporting, alpha polypeptide,8734,X,106027275,106124926,1.315,1.18,4.13,3.771,3.091,4.035,3.811,3.833,-2.495,3.484,33.731,6.32812265889155e-09,5.67078278579739e-07,-2.669,3.484,38.137,6.59316300844909e-10,2.30262732258826e-08,-0.174,3.484,0.271,0.602752143
Kcnh6,potassium voltage-gated channel, subfamily H (eag-related), member 6,3549,11,106008123,106034549,-1.582,-1.549,0.261,-1.414,-0.787,0.089,-0.113,-1.017,-1.17,-0.499,2.194,0.138573621,0.261195347,-1.403,-0.499,3.181,0.074508193,0.141523943,-0.233,-0.499,0.137,0.711165714
Slc12a4,solute carrier family 12, member 4,4297,8,105943589,105966115,3.941,3.781,4.845,4.125,4.097,5.122,4.974,5.121,-0.535,4.599,2.899,0.088631089,0.189420483,-1.213,4.599,14.355,0.000151412,0.000948171,-0.678,4.599,6.09,0.013597206,0.092953107
Psmb10,proteasome (prosome, macropain) subunit, beta type 10,1270,8,105935727,105938392,8.208,8.258,6.995,8.015,7.063,6.934,7.579,6.88,0.796,7.601,4.756,0.029204382,0.085304064,1.066,7.601,8.539,0.003475981,0.01203064,0.27,7.601,0.663,0.415470267
Tanc2,tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2,16494,11,105589985,105929304,-0.244,-0.798,1.371,0.783,1.97,2.616,2.241,2.45,-2.022,1.725,12.261,0.000462642,0.004434012,-3.016,1.725,26.275,2.96153715152361e-07,4.66421927406172e-06,-0.994,1.725,5.039,0.024782174,0.14751902
Tnfrsf11a,tumor necrosis factor receptor superfamily, member 11a, NFKB activator,5985,1,105780717,105847981,-4.31,-4.31,0.024,-4.31,-3.456,0.708,-0.047,0.268,-5.722,-0.571,6.802,0.009106138,0.037177227,-7.6,-0.571,11.628,0.000649516,0.00311552,-1.878,-0.571,2.304,0.129021158
Rrp8,ribosomal RNA processing 8, methyltransferase, homolog (yeast),3072,7,105732206,105737376,5.264,5.634,5.019,5.501,5.524,4.809,5.132,5.198,0.094,5.286,0.12,0.729434031,0.820019196,0.404,5.286,2.24,0.134469014,0.222638471,0.31,5.286,1.627,0.202123506
Fam212b,family with sequence similarity 212, member B,4781,3,105704598,105720842,0.376,-0.798,0.585,-1.604,-0.511,0.708,0.017,-0.235,0.182,0.033,0.055,0.813990493,0.878592913,-0.317,0.033,0.169,0.680848844,0.767415429,-0.499,0.033,0.529,0.467027476,0.771703491
Rltpr,RGD motif, leucine rich repeats, tropomodulin domain and proline-rich containing,2517,8,105690905,105698178,7.197,6.989,6.959,5.575,5.726,5.585,4.308,4.95,0.869,6.223,3.252,0.071354739,0.162087009,2.059,6.223,17.997,2.21244228861599e-05,0.000186821,1.191,6.223,7.214,0.007235033
Pign,phosphatidylinositol glycan anchor biosynthesis, class N,13595,1,105518421,105663677,2.35,1.827,4.47,4.034,4.11,4.335,3.838,4.136,-2.115,3.87,34.837,3.58583265014332e-09,3.60454134223102e-07,-2.015,3.87,31.805,1.70464505619255e-08,3.88672521688084e-07,0.101,3.87,0.122,0.726387703,0.900359111
Fam65a,family with sequence similarity 65, member A,4109,8,105605228,105622194,5.469,5.293,5.072,4.828,4.486,4.809,4.391,4.855,0.571,4.944,4.198,0.04047217,0.107855497,0.685,4.944,6.053,0.013880092,0.036894428,0.114,4.944,0.205,0.650700275,0.871248104
Lrrc8c,leucine rich repeat containing 8 family, member C,7654,5,105519387,105613018,5.765,5.757,6.132,6.129,6.157,6.647,6.83,6.984,-0.379,6.368,3.245,0.071653336,0.162573615,-1.067,6.368,24.735,6.57898721894832e-07,9.33166776086412e-06,-0.688,6.368,13.735,0.000210447,0.003114946
Apbb1,amyloid beta (A4) precursor protein-binding, family B, member 1,4404,7,105558482,105581653,2.847,3.058,1.924,2.701,1.474,2.3,1.929,1.487,0.839,2.337,3.005,0.083024304,0.180969347,1.026,2.337,4.471,0.034478173,0.076618161,0.187,2.337,0.178,0.673464494
Smpd1,sphingomyelin phosphodiesterase 1, acid lysosomal,2411,7,105554359,105558388,5.938,6.013,4.997,5.69,4.944,5.76,6.202,5.745,0.724,5.721,5.976,0.014502567,0.05155196,0.057,5.721,0.037,0.848130805,0.895296512,-0.667,5.721,6.145,0.013176973,0.090943184
Atp2c1,ATPase, Ca++-sequestering,8494,9,105403538,105527319,5.714,5.798,6.784,6.75,6.609,6.519,6.776,6.874,-0.96,6.537,18.892,1.38305553719787e-05,0.000319762,-0.975,6.537,19.448,1.03373761818232e-05,9.85974163876864e-05,-0.015,6.537,0.006,0.939391644,0.980795466
Atp6v0d1,ATPase, H+ transporting, lysosomal V0 subunit D1,1793,8,105524464,105566047,7.417,7.503,6.271,7.026,6.476,6.513,7.191,6.797,0.834,6.963,7.801,0.005222896,0.025221289,0.6,6.963,4.027,0.044777443,0.094079833,-0.234,6.963,0.745,0.388060673
Lrrc8b,leucine rich repeat containing 8 family, member B,2841,5,105415774,105486189,-0.062,-0.798,2.606,2.126,3.422,2.674,2.254,2.574,-3.28,2.336,29.273,6.28641778695336e-08,3.90704245253661e-06,-2.967,2.336,24.38,7.90858159299103e-07,1.0819313989938e-05,0.314,2.336,0.495,0.481789961,0.781508634
Zdhhc1,zinc finger, DHHC domain containing 1,1737,8,105472480,105484350,1.141,0.414,1.469,0.219,0.039,2.263,0.535,0.759,0.112,1.055,0.023,0.880177414,0.923391497,-0.584,1.055,0.608,0.43558779,0.552975494,-0.695,1.055,1.105,0.293121124,0.64724077
Slc9a5,solute carrier family 9 (sodium/hydrogen exchanger), member 5,5222,8,105348257,105369881,1.38,2.026,2.903,-0.514,1.672,3.197,0.535,1.343,-0.182,1.967,0.033,0.855158903,0.906606467,-0.394,1.967,0.155,0.6940069,0.777922986,-0.212,1.967,0.057,0.810699774,0.932970571
B3gnt9,UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9,2516,8,105252637,105255153,-1.851,-1.818,0.464,-1.246,-0.689,2.674,2.645,1.464,-1.666,1.229,4.078,0.04345561,0.113936687,-4.427,1.229,26.941,2.09745615094365e-07,3.45885778957326e-06,-2.761,1.229,18.978,1.32238918386809e-05,0.000277942
Magee1,melanoma antigen, family E,1,3550,X,105120377,105123927,1.471,1.539,2.305,2.286,2.45,3.265,3.639,3.031,-0.855,2.692,4.824,0.028059066,0.082745613,-1.845,2.692,21.693,3.20014319095848e-06,3.55025482605375e-05,-0.991,2.692,9.184,0.002441633
Eif3m,eukaryotic translation initiation factor 3, subunit M,2590,2,104999655,105017080,7.951,8.02,7.291,8.006,7.861,7.243,7.987,7.776,0.235,7.796,0.599,0.438907642,0.584968481,0.284,7.796,0.877,0.349054349,0.469412316,0.049,7.796,0.032,0.857316745,0.9488304
Syne3,spectrin repeat containing, nuclear envelope family member 3,5532,12,104929948,105009809,4.221,3.725,5.578,5.446,4.902,5.87,5.491,5.578,-1.344,5.252,18.388,1.80197003194226e-05,0.000390821,-1.663,5.252,27.488,1.58061446708497e-07,2.71096487232972e-06,-0.32,5.252,1.452,0.228264424,0.576395095
Abcg3,ATP-binding cassette, sub-family G (WHITE), member 3,3550,5,104935056,104982718,4.796,4.722,5.142,4.828,4.552,5.81,5.367,5.501,-0.1,5.152,0.134,0.713834879,0.80822049,-0.812,5.152,8.545,0.003464158,0.012004098,-0.712,5.152,8.569,0.00342002
Capza1,capping protein (actin filament) muscle Z-line, alpha 1,3532,3,104822778,104864505,6.88,7.052,6.926,7.448,7.474,6.832,7.588,7.525,-0.336,7.247,1.238,0.26576625,0.414665657,-0.386,7.247,1.629,0.201861758,0.306518052,-0.05,7.247,0.035,0.852053904,0.946999628
Dicer1,dicer 1, ribonuclease type III,9851,12,104687741,104751952,6.754,6.695,7.184,6.721,6.806,6.797,6.333,6.966,-0.193,6.8,0.528,0.467447437,0.610490686,0.002,6.8,0,0.993241976,0.995480947,0.195,6.8,0.682,0.408895323,0.738682597
Slc16a1,solute carrier family 16 (monocarboxylic acid transporters), member 1,4426,3,104638667,104658462,3.993,4.038,4.664,4.618,5.489,3.876,4.336,4.176,-0.969,4.497,7.457,0.00631924,0.028839484,-0.127,4.497,0.134,0.714298964,0.793818115,0.842,4.497,7.408,0.006492033,0.053414878
Fam96b,family with sequence similarity 96, member B,1075,8,104639838,104641965,5.639,5.571,4.657,5.09,4.768,4.773,5.008,4.399,0.756,5.049,7.752,0.005366786,0.025625793,0.859,5.049,10.017,0.001551385,0.00628602,0.103,5.049,0.176,0.674862566,0.880918164
Myl4,myosin, light polypeptide 4,4637,11,104550662,104595753,5.456,5.071,4.24,4.432,4.978,3.236,3.842,3.518,0.691,4.532,4.43,0.035313469,0.097936941,1.724,4.532,27.23,1.80597669536339e-07,3.04330766740536e-06,1.033,4.532,11.655,0.000640397,0.008144107
Cstf3,cleavage stimulation factor, 3' pre-RNA, subunit 3,5879,2,104590522,104665429,4.514,4.499,5.005,4.513,5.483,4.58,4.94,5.014,-0.549,4.861,2.714,0.099463691,0.206196873,-0.352,4.861,1.126,0.288689352,0.404809426,0.197,4.861,0.454,0.500555821
Adamts6,a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif,6,4822,13,104287872,104494763,2.892,2.73,4.281,3.87,3.792,3.625,2.878,3.802,-1.188,3.585,9.27,0.002329595,0.014173747,-0.675,3.585,3.08,0.079260268,0.14823632,0.512,3.585,2.358,0.12464016,0.422286122
Dync1li2,dynein, cytoplasmic 1 light intermediate chain 2,4633,8,104417673,104443047,5.41,5.438,6.014,5.699,5.426,5.881,5.633,5.746,-0.308,5.672,1.553,0.212650887,0.354776195,-0.333,5.672,1.809,0.17863675,0.278871145,-0.025,5.672,0.013,0.910466591,0.970059016
Acpp,acid phosphatase, prostate,7245,9,104288315,104337728,0.609,0.35,0.642,0.822,0.039,-1.446,-2.859,-1.659,-0.049,0.055,0.007,0.931594583,0.956987868,2.605,0.055,16.123,5.93670986061125e-05,0.000434441,2.654,0.055,19.43,1.04352392270493e-05,0.000226751
Abcb7,ATP-binding cassette, sub-family B (MDR/TAP), member 7,5905,X,104280656,104413856,4.793,4.924,6.157,6.048,6.631,5.68,6.062,6.245,-1.444,5.935,24.9,6.03752628231729e-07,2.62382721141308e-05,-1.157,5.935,16.341,5.28999112690941e-05,0.000395041,0.287,5.935,1.372,0.241544899
Tk2,thymidine kinase 2, mitochondrial,2400,8,104226690,104248558,7.265,7.242,6.473,6.294,5.75,6.351,5.958,6.15,1.051,6.534,15.859,6.82551221055648e-05,0.001077909,1.093,6.534,17.144,3.46421513345244e-05,0.000274855,0.042,6.534,0.03,0.861469777,0.950700775
Serpina3g,serine (or cysteine) peptidase inhibitor, clade A, member 3G,2105,12,104236244,104241939,7.516,7.153,8.695,9.272,8.657,8.9,9.39,9.306,-1.557,8.791,25.982,3.44571823064333e-07,1.66663191406849e-05,-1.868,8.791,36.328,1.66724967225086e-09,5.11146846925748e-08,-0.311,8.791,1.448,0.228877481
Magi3,membrane associated guanylate kinase, WW and PDZ domain containing 3,6773,3,104013258,104220374,0.438,0.751,2.548,2.048,1.556,1.259,0.299,1.265,-1.527,1.482,7.37,0.006633344,0.029906964,-0.409,1.482,0.542,0.46141533,0.577331012,1.118,1.482,5.503,0.018986272,0.12105974
Serpina3f,serine (or cysteine) peptidase inhibitor, clade A, member 3F,2290,12,104214543,104221129,3.634,3.098,5.774,6.307,5.849,6.332,6.445,6.733,-2.611,5.928,69.589,7.30488053508458e-17,4.69135661030987e-14,-3.128,5.928,95.156,1.75984909879004e-22,5.65107099500356e-20,-0.518,5.928,4.362,0.036743616
Acad11,acyl-Coenzyme A dehydrogenase family, member 11,4188,9,104063376,104127656,3.058,2.942,3.367,3.679,3.29,3.58,3.944,3.657,-0.456,3.481,2.051,0.152138857,0.27942885,-0.739,3.481,5.316,0.021127703,0.051633833,-0.282,3.481,1.033,0.309527447,0.661393214
Rlim,ring finger protein, LIM domain interacting,8917,X,103957162,103981284,6.397,6.367,6.699,6.607,6.193,6.257,6.38,6.16,-0.134,6.395,0.331,0.565163894,0.694218958,0.113,6.395,0.238,0.625573019,0.722223519,0.247,6.395,1.415,0.234181178,0.583579765
Rsbn1,rosbin, round spermatid basic protein 1,6861,3,103914119,103966636,3.842,3.585,5.89,5.607,5.205,5.385,4.837,5.044,-1.878,5.103,34.167,5.05807675961912e-09,4.6808811505831e-07,-1.389,5.103,19.42,1.04907305941707e-05,9.97309586090572e-05,0.488,5.103,3.373,0.066276947,0.288436557
Ptpn22,protein tyrosine phosphatase, non-receptor type 22 (lymphoid),3064,3,103859794,103912247,5.408,5.276,5.52,5.012,4.833,7.733,7.649,7.385,0.194,6.587,0.532,0.465973058,0.609360799,-2.254,6.587,60.835,6.20667367059199e-15,5.83326403512548e-13,-2.448,6.587,96.419,9.29834325443075e-23,5.97160266784552e-20
Aff1,AF4/FMR2 family, member 1,9458,5,103692373,103855322,6.96,6.759,7.647,7.385,7.083,7.928,7.436,7.811,-0.527,7.428,3.989,0.045791339,0.118131639,-0.877,7.428,10.8,0.001014814,0.004461399,-0.35,7.428,2.271,0.131810854,0.433693439
Hbb-bs,hemoglobin, beta adult s chain,863,7,103826533,103828096,-0.988,0.647,-4.31,-3.368,-3.456,-2.057,-0.595,1.125,4.726,-0.452,14.258,0.000159352,0.002008837,-0.002,-0.452,0,0.998099262,0.998517396,-4.728,-0.452,15.555,8.01335086416591e-05,0.001368969
Ap4b1,adaptor-related protein complex AP-4, beta 1,2907,3,103809519,103822025,5.331,5.23,5.581,4.502,4.681,5.203,4.553,4.458,0.28,5.003,0.523,0.469720527,0.612586789,0.506,5.003,1.711,0.190814612,0.29379554,0.225,5.003,0.417,0.51852577,0.805076895
Hbb-bt,hemoglobin, beta adult t chain,703,7,103812523,103813996,2.105,2.289,-0.906,0.036,0.479,-3.136,-0.799,0.557,2.266,0.868,6.842,0.008905604,0.036493718,2.728,0.868,9.638,0.001906114,0.007421584,0.463,0.868,0.332,0.564497638,0.82875193
Slain1,SLAIN motif family, member 1,3284,14,103650227,103704907,5.279,5.334,5.212,5.791,5.584,5.588,5.855,5.806,-0.243,5.577,0.957,0.327864863,0.481187546,-0.448,5.577,3.227,0.072417678,0.138234537,-0.205,5.577,0.872,0.350484615,0.695423798
Ftx,Ftx transcript, Xist regulator (non-protein coding),7598,X,103560906,103623754,4.939,4.949,5.14,4.362,4.555,4.237,3.311,3.912,0.221,4.531,0.379,0.53835767,0.671350018,1.079,4.531,9.137,0.00250453,0.009246269,0.859,4.531,6.935,0.008454766,0.064881622
Ptpn13,protein tyrosine phosphatase, non-receptor type 13,8280,5,103425191,103598359,-4.31,-1.818,0.585,-3.368,1.169,2.014,1.269,1.125,-3.341,0.724,5.59,0.018059493,0.060007974,-4.533,0.724,9.393,0.002178654,0.008279032,-1.192,0.724,1.307,0.252968891,0.606957323
Pde1b,phosphodiesterase 1B, Ca2+-calmodulin dependent,2954,15,103503297,103530052,4.414,4.123,5.118,0.896,2.564,4.809,0.811,2.541,0.454,3.867,0.149,0.699783148,0.797972992,0.71,3.867,0.366,0.545293621,0.651736379,0.256,3.867,0.058,0.809660254,0.932145457
Jpx,Jpx transcript, Xist activator (non-protein coding),4043,X,103493557,103506425,1.664,0.647,1.267,-0.253,0.748,0.708,-0.257,-0.025,0.549,0.742,0.745,0.387977706,0.538935626,1.085,0.742,2.854,0.091144551,0.165042452,0.535,0.742,0.827,0.363016648,0.704224275
Bfsp2,beaded filament structural protein 2, phakinin,1702,9,103424919,103480420,6.064,6.058,4.605,5.336,5.152,4.203,4.779,4.537,0.998,5.244,11.75,0.000608572,0.005419947,1.536,5.244,27.632,1.46752992501058e-07,2.53961765465902e-06,0.538,5.244,4.078,0.043448127,0.22054461
Ifi27l2a,interferon, alpha-inducible protein 27 like 2A,463,12,103442166,103443680,8.639,8.099,5.608,7.39,6.627,5.689,7.362,7.194,1.678,7.4,8.596,0.003369384,0.018489001,1.477,7.4,6.681,0.009743397,0.027687726,-0.201,7.4,0.151,0.698000682,0.892148826
Ifi27,interferon, alpha-inducible protein 27,1467,12,103434210,103440239,6.509,6.363,5.732,5.821,5.648,6.052,5.87,5.859,0.703,6.012,11.912,0.000557681,0.00508621,0.509,6.012,6.224,0.012604615,0.034171986,-0.194,6.012,1.105,0.293074373,0.64724077
Plekhm1,pleckstrin homology domain containing, family M (with RUN domain) member 1,5968,11,103364274,103412687,7.613,7.626,7.928,8.002,7.561,7.321,7.332,7.641,-0.223,7.647,0.895,0.344134165,0.497771641,0.18,7.647,0.594,0.440748931,0.557751247,0.403,7.647,3.686,0.054877275,0.256212158
Otub2,OTU domain, ubiquitin aldehyde binding 2,3695,12,103388681,103406350,3.6,3.653,4.01,3.69,5.194,2.631,2.752,3.092,-0.828,3.812,2.978,0.084382146,0.182909733,0.791,3.812,2.873,0.090072638,0.163588326,1.619,3.812,14.172,0.000166863,0.002565074
Copz1,coatomer protein complex, subunit zeta 1,1669,15,103272910,103299862,7.403,7.599,6.629,6.967,7.07,6.842,7.369,7.189,0.603,7.165,5.918,0.014985468,0.052782452,0.354,7.165,2.031,0.154131832,0.248606667,-0.249,7.165,1.23,0.267340905,0.620699108
Slc35d1,solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1,8528,4,103170648,103215164,2.716,2.556,3.109,2.751,2.923,3.625,3.129,3.334,-0.297,3.065,0.743,0.388805135,0.539695888,-0.74,3.065,4.556,0.032794304,0.07361207,-0.443,3.065,2.164,0.141321954,0.45005008
Srprb,signal recognition particle receptor, B subunit,4287,9,103188031,103202137,5.83,5.847,4.661,5.309,4.759,5.09,5.561,5.234,0.9,5.348,10.476,0.001209128,0.008868982,0.53,5.348,3.613,0.057319548,0.114738351,-0.37,5.348,2.151,0.142491666,0.452652833
Rab6b,RAB6B, member RAS oncogene family,5031,9,103111786,103185276,3.351,3.853,2.305,2.819,2.126,1.333,0.398,1.003,1.182,2.557,7.401,0.006519875,0.029498926,2.701,2.557,35.519,2.52627083908834e-09,7.19302731523675e-08,1.519,2.557,13.169,0.000284586,0.004036584
Plcd3,phospholipase C, delta 3,3393,11,103070303,103101658,-0.835,-1.321,1.337,-0.175,2.153,3.759,2.665,1.532,-2.563,1.994,7.566,0.00594824,0.027582664,-4.109,1.994,17.157,3.44152041406434e-05,0.000273429,-1.546,1.994,4.461,0.034669761,0.187194039
Slco2a1,solute carrier organic anion transporter family, member 2a1,10353,9,102988711,103096002,-2.61,-3.201,0.261,-2.083,-0.21,2.824,2.319,1.968,-2.951,1.241,9.006,0.002690882,0.015694551,-5.835,1.241,34.156,5.08547274921927e-09,1.32704435622968e-07,-2.884,1.241,18.932,1.35491468801869e-05,0.000283747
Cln5,ceroid-lipofuscinosis, neuronal 5,2396,14,103070215,103077579,5.544,5.69,5.456,5.79,5.278,5.805,6.313,5.805,0.095,5.742,0.126,0.722105124,0.814950232,-0.376,5.742,1.935,0.164197813,0.261090332,-0.472,5.742,3.863,0.049351307,0.23904675
Pdhx,pyruvate dehydrogenase complex, component X,3930,2,103021074,103073513,4.394,4.278,4.235,4.378,4.459,4.232,4.355,4.122,-0.024,4.314,0.009,0.924743866,0.953106195,0.098,4.314,0.15,0.698707946,0.781222928,0.122,4.314,0.291,0.589723042,0.841674756
Csde1,cold shock domain containing E1, RNA binding,4201,3,103020545,103058189,8.676,8.794,8.478,8.573,8.63,8.395,8.526,8.685,0.175,8.6,0.683,0.408651806,0.558187755,0.196,8.6,0.863,0.352955513,0.473172414,0.022,8.6,0.013,0.90931964,0.969546566
Pde4b,phosphodiesterase 4B, cAMP specific,10560,4,102087542,102607259,7.384,7.339,7.464,7.764,7.126,6.84,6.801,7.086,-0.113,7.258,0.206,0.649719872,0.762127013,0.447,7.258,3.275,0.070332735,0.135231784,0.56,7.258,6.295,0.01211107,0.085160565
Itpk1,inositol 1,3,4-triphosphate 5/6 kinase,3320,12,102568581,102704930,5.206,5.272,4.65,4.845,4.424,4.901,4.686,4.785,0.591,4.873,5.879,0.015322359,0.053707239,0.447,4.873,3.362,0.066722415,0.129792634,-0.144,4.873,0.423,0.515215275
Golga5,golgi autoantigen, golgin subfamily a,5,2897,12,102469133,102497902,5.771,5.662,5.842,5.525,5.653,5.738,5.457,5.861,0.039,5.696,0.028,0.866737223,0.913686148,0.023,5.696,0.01,0.921199637,0.946247361,-0.016,5.696,0.006,0.938629203
Slc25a39,solute carrier family 25, member 39,2756,11,102402984,102407946,6.688,6.76,5.688,6.316,6.135,6.216,6.657,6.098,0.654,6.36,5.803,0.016001565,0.055382661,0.38,6.36,1.947,0.162942678,0.259666027,-0.274,6.36,1.243,0.264837611,0.618114836
Aaas,achalasia, adrenocortical insufficiency, alacrimia,1816,15,102338246,102350759,5.873,5.818,5.401,5.365,5.651,5.238,5.185,5.152,0.367,5.487,3.007,0.082888763,0.18079134,0.655,5.487,9.581,0.001965577,0.007601159,0.288,5.487,2.252,0.133482614
Espl1,extra spindle pole bodies 1, separase,6630,15,102296292,102324356,2.124,1.064,5.102,1.722,5.888,5.018,4.066,4.446,-3.341,4.449,10.814,0.001007588,0.00778444,-2.891,4.449,8.487,0.003577743,0.012320139,0.45,4.449,0.331,0.565141217,0.828937465
Ubtf,upstream binding transcription factor, RNA polymerase I,6552,11,102304559,102319742,8.562,8.574,8.199,8.366,8.28,7.903,8.066,8.014,0.284,8.264,2.004,0.156833281,0.285645616,0.572,8.264,8.156,0.004291884,0.014252851,0.287,8.264,2.517,0.112619535,0.397669387
Rarg,retinoic acid receptor, gamma,4109,15,102234937,102257517,-2.181,-0.532,-0.906,-1.824,-1.576,2.39,1.879,1.291,0.301,0.782,0.155,0.693391048,0.793537428,-3.185,0.782,18.107,2.08868305700666e-05,0.000178062,-3.486,0.782,29.373,5.97014494355565e-08,2.21201524190716e-06
Vangl1,vang-like 1 (van gogh, Drosophila),4038,3,102156700,102204693,-4.31,-4.31,-1.505,-3.368,-0.019,0,-0.693,-0.395,-6.128,-0.865,11.372,0.000745463,0.006317854,-6.886,-0.865,14.912,0.000112665,0.000742536,-0.758,-0.865,0.773,0.379201674,0.718265009
G6pc3,glucose 6 phosphatase, catalytic,3,2226,11,102189619,102194081,5.548,5.679,5.184,4.775,4.499,4.996,4.696,4.656,0.77,5.064,7.803,0.005215699,0.025206305,0.826,5.064,8.969,0.002746336,0.009942891,0.056,5.064,0.049,0.824589905
Rps4x,ribosomal protein S4, X-linked,1631,X,102184940,102189394,12.251,12.368,10.797,11.846,11.317,10.82,11.611,11.392,0.928,11.655,6.823,0.009000625,0.036791807,0.999,11.655,7.92,0.004890353,0.015822133,0.072,11.655,0.049,0.824194681,0.93748131
Pin4,protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin),651,X,102119446,102127669,2.753,2.996,2.097,2.741,2.072,1.628,2.733,2.497,0.545,2.514,1.41,0.235049248,0.380396095,0.519,2.514,1.282,0.257494833,0.370689947,-0.025,2.514,0.004,0.951249372,0.983933674
Slc22a15,solute carrier family 22 (organic anion/cation transporter), member 15,6205,3,101858929,101924453,0.661,-0.798,3.099,1.503,3.533,5.155,4.467,4.19,-2.879,3.665,15.461,8.42224600481622e-05,0.001259523,-4.61,3.665,33.822,6.03989853874171e-09,1.54471741389058e-07,-1.731,3.665,9,0.00269963,0.026810754
