ensembl_gene_id	external_gene_name	description	entrezgene	hsapiens_homolog_ensembl_gene	hsapiens_homolog_perc_id	hgnc_symbol	Human_description	Human_entrez_geneid	ensembl_peptide_ids	ensembl_transcript_ids	MRL_C1	MRL_C2	MRL_C3	MRL_C4	MRL_C5	MRL_C6	MRL_C7	MRL_C8	MRL_2DG_1	MRL_2DG_2	MRL_2DG_3	MRL_2DG_4	MRL_2DG_5	MRL_2DG_6	MRL_2DG_7	MRL_2DG_8	MRL_2DG_9
ENSMUSG00000031828	Klhl36	kelch-like 36 [Source:MGI Symbol;Acc:MGI:2385305]	234796	ENSG00000135686	85.8075	KLHL36	kelch like family member 36 [Source:HGNC Symbol;Acc:HGNC:17844]	79786	ENSMUSP00000034287	ENSMUST00000212970,ENSMUST00000034287,ENSMUST00000212636	2721	2948	1781	1811	2576	3234	2810	2246	2577	2642	2451	2124	2391	2415	2579	2524	2185
ENSMUSG00000031831	Dnaaf1	dynein, axonemal assembly factor 1 [Source:MGI Symbol;Acc:MGI:1915520]	68270	ENSG00000154099	61.1987	DNAAF1	dynein axonemal assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30539]	123872	ENSMUSP00000090790	ENSMUST00000093100	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	1
ENSMUSG00000031832	Taf1c	TATA-box binding protein associated factor, RNA polymerase I, C [Source:MGI Symbol;Acc:MGI:109576]	21341	ENSG00000103168	66.1483	TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C [Source:HGNC Symbol;Acc:HGNC:11534]	9013	ENSMUSP00000090789,ENSMUSP00000118480	ENSMUST00000093099,ENSMUST00000212929,ENSMUST00000126547,ENSMUST00000131652,ENSMUST00000147964,ENSMUST00000144379	2304	2558	1102	1210	1758	1810	1542	1406	2045	2594	1869	1476	1700	1477	1628	1928	2010
ENSMUSG00000031833	Mast3	microtubule associated serine/threonine kinase 3 [Source:MGI Symbol;Acc:MGI:2683541]	546071	ENSG00000099308	89.4777	MAST3	microtubule associated serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:19036]	23031	ENSMUSP00000148291,ENSMUSP00000148792,ENSMUSP00000148686,ENSMUSP00000128703,ENSMUSP00000148451,ENSMUSP00000148389,ENSMUSP00000148351,ENSMUSP00000148635,ENSMUSP00000148817	ENSMUST00000212551,ENSMUST00000212673,ENSMUST00000211948,ENSMUST00000166004,ENSMUST00000212038,ENSMUST00000212140,ENSMUST00000211841,ENSMUST00000212172,ENSMUST00000212875,ENSMUST00000212757,ENSMUST00000212001	7194	8385	4143	3755	6067	6681	5594	5078	7784	8008	6401	4866	6442	6660	6256	6982	6660
ENSMUSG00000031834	Pik3r2	phosphoinositide-3-kinase regulatory subunit 2 [Source:MGI Symbol;Acc:MGI:1098772]	18709	ENSG00000105647	89.6122	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	5296	ENSMUSP00000122065,ENSMUSP00000121463,ENSMUSP00000034296	ENSMUST00000146707,ENSMUST00000143785,ENSMUST00000152545,ENSMUST00000154685,ENSMUST00000034296,ENSMUST00000142370	4602	5797	2687	2727	3602	4247	3982	3067	4158	5278	3196	2576	3362	3630	3786	4318	4102
ENSMUSG00000031835	Mbtps1	membrane-bound transcription factor peptidase, site 1 [Source:MGI Symbol;Acc:MGI:1927235]	56453	ENSG00000140943	95.8175	MBTPS1	membrane bound transcription factor peptidase, site 1 [Source:HGNC Symbol;Acc:HGNC:15456]	8720	ENSMUSP00000080117,ENSMUSP00000095965	ENSMUST00000212290,ENSMUST00000081381,ENSMUST00000212736,ENSMUST00000212685,ENSMUST00000212813,ENSMUST00000212082,ENSMUST00000212244,ENSMUST00000098362,ENSMUST00000212601	8949	10473	5188	5798	8685	7824	8213	6810	9072	9242	8219	7421	9043	9067	8059	9094	7645
ENSMUSG00000031837	Necab2	N-terminal EF-hand calcium binding protein 2 [Source:MGI Symbol;Acc:MGI:2152211]	117148	ENSG00000103154	85.8612	NECAB2	N-terminal EF-hand calcium binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23746]	54550	ENSMUSP00000095966	ENSMUST00000148328,ENSMUST00000098363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031838	Ifi30	interferon gamma inducible protein 30 [Source:MGI Symbol;Acc:MGI:2137648]	65972	ENSG00000216490	62.0968	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	10437	ENSMUSP00000159394	ENSMUST00000222087	23627	22926	16059	18823	30662	32564	23021	16969	19926	24531	26036	19109	27532	25203	21623	23964	18260
ENSMUSG00000031839	Hsbp1	heat shock factor binding protein 1 [Source:MGI Symbol;Acc:MGI:1915446]	68196	ENSG00000230989	88.1579	HSBP1	heat shock factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5203]	3281	ENSMUSP00000148390,ENSMUSP00000034300	ENSMUST00000212468,ENSMUST00000034300,ENSMUST00000213037,ENSMUST00000212795	6870	6944	4740	5837	9004	9578	7122	6144	6666	7556	7217	6127	8700	9113	6842	7190	6465
ENSMUSG00000031840	Rab3a	RAB3A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:97843]	19339	ENSG00000105649	99.0909	RAB3A	RAB3A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9777]	5864	ENSMUSP00000123384,ENSMUSP00000105719,ENSMUSP00000105717,ENSMUSP00000105720,ENSMUSP00000034301	ENSMUST00000143118,ENSMUST00000110092,ENSMUST00000110090,ENSMUST00000110093,ENSMUST00000130468,ENSMUST00000034301	876	956	476	414	723	654	534	369	907	1010	479	470	524	536	404	443	351
ENSMUSG00000031841	Cdh13	cadherin 13 [Source:MGI Symbol;Acc:MGI:99551]	12554	ENSG00000140945	93.5574	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	1012	ENSMUSP00000113527	ENSMUST00000151842,ENSMUST00000129548,ENSMUST00000123567,ENSMUST00000148836,ENSMUST00000212476,ENSMUST00000142551,ENSMUST00000145849,ENSMUST00000117160	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0
ENSMUSG00000031842	Pde4c	phosphodiesterase 4C, cAMP specific [Source:MGI Symbol;Acc:MGI:99556]	110385	ENSG00000105650	65.9634	PDE4C	phosphodiesterase 4C [Source:HGNC Symbol;Acc:HGNC:8782]	5143	ENSMUSP00000159330,ENSMUSP00000153213,ENSMUSP00000119312,ENSMUSP00000034307,ENSMUSP00000105722,ENSMUSP00000159363	ENSMUST00000128685,ENSMUST00000239487,ENSMUST00000149272,ENSMUST00000224874,ENSMUST00000123739,ENSMUST00000034307,ENSMUST00000110095,ENSMUST00000239435	102	102	74	90	94	214	127	110	39	140	117	44	179	160	127	91	70
ENSMUSG00000031843	Mphosph6	M phase phosphoprotein 6 [Source:MGI Symbol;Acc:MGI:1915783]	68533	ENSG00000135698	86.9565	MPHOSPH6	M-phase phosphoprotein 6 [Source:HGNC Symbol;Acc:HGNC:7214]	10200	ENSMUSP00000034303	ENSMUST00000213070,ENSMUST00000034303,ENSMUST00000211818	879	720	615	750	944	981	963	687	704	851	886	622	959	923	743	904	746
ENSMUSG00000031844	Hsd17b2	hydroxysteroid (17-beta) dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:1096386]	15486	ENSG00000086696	60.3675	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211]	3294	ENSMUSP00000148323,ENSMUSP00000034304	ENSMUST00000212052,ENSMUST00000034304,ENSMUST00000212998	1	1	0	1	0	0	2	0	1	1	0	0	1	0	0	2	0
ENSMUSG00000031845	Bco1	beta-carotene oxygenase 1 [Source:MGI Symbol;Acc:MGI:1926923]	63857	ENSG00000135697	82.3322	BCO1	beta-carotene oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:13815]	53630	ENSMUSP00000134815,ENSMUSP00000034308	ENSMUST00000176860,ENSMUST00000034308	0	0	1	2	0	0	1	0	0	0	6	0	0	0	6	0	1
ENSMUSG00000031847	1700030J22Rik	RIKEN cDNA 1700030J22 gene [Source:MGI Symbol;Acc:MGI:1916778]	69528	ENSG00000166455	53.3007	C16orf46	chromosome 16 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:26525]	123775	ENSMUSP00000070601,ENSMUSP00000148789	ENSMUST00000070577,ENSMUST00000213068	47	8	4	28	46	40	33	11	28	7	27	7	7	3	55	27	33
ENSMUSG00000031848	Lsm4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:MGI Symbol;Acc:MGI:1354692]	50783	ENSG00000130520	97.1014	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17259]	25804	ENSMUSP00000034311,ENSMUSP00000147637,ENSMUSP00000121019,ENSMUSP00000147320	ENSMUST00000034311,ENSMUST00000210987,ENSMUST00000146972,ENSMUST00000210071,ENSMUST00000153689	6373	7254	3665	4483	6447	6285	5354	4207	5773	7302	4830	4444	6005	5601	5145	5972	5203
ENSMUSG00000031849	Comp	cartilage oligomeric matrix protein [Source:MGI Symbol;Acc:MGI:88469]	12845	ENSG00000105664	90.8609	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	1311	ENSMUSP00000003659,ENSMUSP00000148626,ENSMUSP00000148712	ENSMUST00000003659,ENSMUST00000213072,ENSMUST00000212488,ENSMUST00000212439	5	8	0	0	0	0	13	0	3	11	2	5	0	8	0	6	4
ENSMUSG00000031851	Ntpcr	nucleoside-triphosphatase, cancer-related [Source:MGI Symbol;Acc:MGI:1913816]	66566	ENSG00000135778	81.5789	NTPCR	nucleoside-triphosphatase, cancer-related [Source:HGNC Symbol;Acc:HGNC:28204]	84284	ENSMUSP00000069384,ENSMUSP00000115996,ENSMUSP00000034313,ENSMUSP00000121271	ENSMUST00000065135,ENSMUST00000138656,ENSMUST00000152189,ENSMUST00000146055,ENSMUST00000034313,ENSMUST00000143504,ENSMUST00000151172,ENSMUST00000123554	1004	1029	602	691	981	958	778	614	781	966	821	665	1074	905	932	923	975
ENSMUSG00000031853	Map3k21	mitogen-activated protein kinase kinase kinase 21 [Source:MGI Symbol;Acc:MGI:2385307]	234878	ENSG00000143674	70.4591	MAP3K21	mitogen-activated protein kinase kinase kinase 21 [Source:HGNC Symbol;Acc:HGNC:29798]	84451	ENSMUSP00000034316	ENSMUST00000034316	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000031858	Mau2	MAU2 sister chromatid cohesion factor [Source:MGI Symbol;Acc:MGI:1921799]	74549	ENSG00000129933	90.7692	MAU2	MAU2 sister chromatid cohesion factor [Source:HGNC Symbol;Acc:HGNC:29140]	23383	ENSMUSP00000148532,ENSMUSP00000131966,ENSMUSP00000054763,ENSMUSP00000148601,ENSMUSP00000148479	ENSMUST00000212845,ENSMUST00000212596,ENSMUST00000168013,ENSMUST00000212401,ENSMUST00000050561,ENSMUST00000212451,ENSMUST00000212308,ENSMUST00000212055	9874	11020	5396	4917	7430	8709	7438	6291	9636	12262	8691	6595	7661	7752	7285	7969	7241
ENSMUSG00000031860	Pbx4	pre B cell leukemia homeobox 4 [Source:MGI Symbol;Acc:MGI:1931321]	80720	ENSG00000105717	76.9841	PBX4	PBX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:13403]	80714	ENSMUSP00000119526,ENSMUSP00000118287,ENSMUSP00000080219,ENSMUSP00000121369,ENSMUSP00000122281	ENSMUST00000156319,ENSMUST00000132259,ENSMUST00000132899,ENSMUST00000135952,ENSMUST00000156251,ENSMUST00000081503,ENSMUST00000131637,ENSMUST00000151975,ENSMUST00000134777	92	26	9	9	37	29	14	36	13	52	17	32	13	29	21	35	99
ENSMUSG00000031861	Lpar2	lysophosphatidic acid receptor 2 [Source:MGI Symbol;Acc:MGI:1858422]	53978	ENSG00000064547	92.2414	LPAR2	lysophosphatidic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:3168]	9170	ENSMUSP00000034325,ENSMUSP00000158853,ENSMUSP00000128261	ENSMUST00000034325,ENSMUST00000238452,ENSMUST00000164890	71	26	26	59	27	39	15	5	13	27	17	36	13	71	21	12	30
ENSMUSG00000031862	Atp13a1	ATPase type 13A1 [Source:MGI Symbol;Acc:MGI:2180801]	170759	ENSG00000105726	95.1667	ATP13A1	ATPase 13A1 [Source:HGNC Symbol;Acc:HGNC:24215]	57130	ENSMUSP00000158602,ENSMUSP00000034326	ENSMUST00000238646,ENSMUST00000238316,ENSMUST00000238353,ENSMUST00000034326,ENSMUST00000238217,ENSMUST00000238453,ENSMUST00000238491,ENSMUST00000238648,ENSMUST00000238442,ENSMUST00000238710,ENSMUST00000238550	8552	10145	4567	4658	6588	7145	6741	5374	7516	9946	6290	5986	7755	7155	8214	8791	8180
ENSMUSG00000031864	Ints10	integrator complex subunit 10 [Source:MGI Symbol;Acc:MGI:1918135]	70885	ENSG00000104613	92.2554	INTS10	integrator complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:25548]	55174	ENSMUSP00000105871,ENSMUSP00000034328,ENSMUSP00000118390,ENSMUSP00000069908,ENSMUSP00000105870	ENSMUST00000110242,ENSMUST00000034328,ENSMUST00000147072,ENSMUST00000145140,ENSMUST00000146322,ENSMUST00000070713,ENSMUST00000212064,ENSMUST00000140309,ENSMUST00000110241	2711	2748	2386	2083	3237	3568	3132	2627	2710	3039	3173	3026	3628	3457	3533	3898	4284
ENSMUSG00000031865	Dctn1	dynactin 1 [Source:MGI Symbol;Acc:MGI:107745]	13191	ENSG00000204843	96.8774	DCTN1	dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711]	1639	ENSMUSP00000109546,ENSMUSP00000109552,ENSMUSP00000115838,ENSMUSP00000121538,ENSMUSP00000109540,ENSMUSP00000109551,ENSMUSP00000076623	ENSMUST00000153793,ENSMUST00000113913,ENSMUST00000113919,ENSMUST00000130212,ENSMUST00000141680,ENSMUST00000113907,ENSMUST00000127824,ENSMUST00000123313,ENSMUST00000130917,ENSMUST00000113918,ENSMUST00000077407,ENSMUST00000154420	9062	9832	4797	5368	8133	8424	7431	6305	7636	10245	6641	4935	8302	8118	8722	9760	7942
ENSMUSG00000031870	Pgr	progesterone receptor [Source:MGI Symbol;Acc:MGI:97567]	18667	ENSG00000082175	80.6695	PGR	progesterone receptor [Source:HGNC Symbol;Acc:HGNC:8910]	5241	ENSMUSP00000063562,ENSMUSP00000096584,ENSMUSP00000140124	ENSMUST00000070463,ENSMUST00000151080,ENSMUST00000098986,ENSMUST00000189181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031871	Cdh5	cadherin 5 [Source:MGI Symbol;Acc:MGI:105057]	12562	ENSG00000179776	75.5102	CDH5	cadherin 5 [Source:HGNC Symbol;Acc:HGNC:1764]	1003	ENSMUSP00000147286,ENSMUSP00000034339	ENSMUST00000209911,ENSMUST00000034339	4	12	11	16	14	5	10	5	14	27	3	8	7	18	15	18	17
ENSMUSG00000031872	Bean1	brain expressed, associated with Nedd4, 1 [Source:MGI Symbol;Acc:MGI:1929597]	65115	ENSG00000166546	64.4172	BEAN1	brain expressed associated with NEDD4 1 [Source:HGNC Symbol;Acc:HGNC:24160]	146227	ENSMUSP00000148283,ENSMUSP00000132056,ENSMUSP00000131530,ENSMUSP00000129403,ENSMUSP00000090931,ENSMUSP00000148571	ENSMUST00000213077,ENSMUST00000164076,ENSMUST00000167633,ENSMUST00000171018,ENSMUST00000093245,ENSMUST00000212979	23	17	29	6	30	21	34	24	7	17	21	23	19	49	51	36	59
ENSMUSG00000031875	Cmtm3	CKLF-like MARVEL transmembrane domain containing 3 [Source:MGI Symbol;Acc:MGI:2447162]	68119	ENSG00000140931	87.5	CMTM3	CKLF like MARVEL transmembrane domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19174]	123920	ENSMUSP00000148513,ENSMUSP00000148338,ENSMUSP00000148682,ENSMUSP00000148628,ENSMUSP00000034343	ENSMUST00000211885,ENSMUST00000211996,ENSMUST00000212139,ENSMUST00000212399,ENSMUST00000212081,ENSMUST00000212948,ENSMUST00000034343,ENSMUST00000212734	1934	1311	1068	1104	1759	1620	1329	1325	1065	1478	1165	1059	1468	1394	1568	1446	1350
ENSMUSG00000031876	Gm45711	predicted gene 45711 [Source:MGI Symbol;Acc:MGI:5804826]	NA		NA			NA	ENSMUSP00000124800	ENSMUST00000162616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031877	Ces2g	carboxylesterase 2G [Source:MGI Symbol;Acc:MGI:1919611]	72361	ENSG00000172831	69.1071	CES2	carboxylesterase 2 [Source:HGNC Symbol;Acc:HGNC:1864]	8824	ENSMUSP00000049315	ENSMUST00000212330,ENSMUST00000043183	393	114	164	55	119	180	254	1072	17	49	419	630	552	920	1590	2407	4629
ENSMUSG00000031878	Nae1	NEDD8 activating enzyme E1 subunit 1 [Source:MGI Symbol;Acc:MGI:2384561]	234664	ENSG00000159593	97.0037	NAE1	NEDD8 activating enzyme E1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:621]	8883	ENSMUSP00000034349,ENSMUSP00000125456	ENSMUST00000161411,ENSMUST00000212514,ENSMUST00000160148,ENSMUST00000159702,ENSMUST00000159696,ENSMUST00000161462,ENSMUST00000159330,ENSMUST00000034349,ENSMUST00000159393,ENSMUST00000162466,ENSMUST00000161474,ENSMUST00000213067,ENSMUST00000160913	4800	3514	4646	5886	6143	6564	5256	4777	4437	4000	7177	7540	7552	8363	6818	5430	6603
ENSMUSG00000031879	Ciao2b	cytosolic iron-sulfur assembly component 2B [Source:MGI Symbol;Acc:MGI:1915773]	68523	ENSG00000166595	97.546	CIAO2B	cytosolic iron-sulfur assembly component 2B [Source:HGNC Symbol;Acc:HGNC:24261]	51647	ENSMUSP00000148786,ENSMUSP00000090921,ENSMUSP00000132725	ENSMUST00000163140,ENSMUST00000093234,ENSMUST00000164884	2882	2738	1566	1691	2719	3266	2106	1649	2143	2562	2029	1630	2477	2745	2100	2305	1998
ENSMUSG00000031880	Rrad	Ras-related associated with diabetes [Source:MGI Symbol;Acc:MGI:1930943]	56437	ENSG00000166592	92.1824	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]	6236	ENSMUSP00000034351,ENSMUSP00000148494	ENSMUST00000034351,ENSMUST00000212163	4161	4824	2306	1629	2816	3925	3305	2685	3007	3158	3637	2925	3586	3598	3301	3304	2867
ENSMUSG00000031881	Cdh16	cadherin 16 [Source:MGI Symbol;Acc:MGI:106671]	12556	ENSG00000166589	77.4699	CDH16	cadherin 16 [Source:HGNC Symbol;Acc:HGNC:1755]	1014	ENSMUSP00000148269,ENSMUSP00000148337,ENSMUSP00000148363,ENSMUSP00000148701,ENSMUSP00000148491,ENSMUSP00000148793,ENSMUSP00000129663,ENSMUSP00000148726,ENSMUSP00000148835,ENSMUSP00000148809,ENSMUSP00000148478,ENSMUSP00000148602,ENSMUSP00000148711	ENSMUST00000211849,ENSMUST00000212318,ENSMUST00000212324,ENSMUST00000213033,ENSMUST00000211889,ENSMUST00000212662,ENSMUST00000163783,ENSMUST00000212882,ENSMUST00000212447,ENSMUST00000212748,ENSMUST00000211903,ENSMUST00000212045,ENSMUST00000212420,ENSMUST00000212689	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ENSMUSG00000031883	Car7	carbonic anhydrase 7 [Source:MGI Symbol;Acc:MGI:103100]	12354	ENSG00000168748	94.697	CA7	carbonic anhydrase 7 [Source:HGNC Symbol;Acc:HGNC:1381]	766	ENSMUSP00000125112,ENSMUSP00000125404,ENSMUSP00000052136	ENSMUST00000159416,ENSMUST00000162761,ENSMUST00000212942,ENSMUST00000056051,ENSMUST00000162399	109	100	55	74	96	72	80	55	134	135	111	148	60	40	46	75	74
ENSMUSG00000031884	Ces2d-ps	carboxylesterase 2D, pseudogene [Source:MGI Symbol;Acc:MGI:3704319]	NA		NA			NA		ENSMUST00000043209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031885	Cbfb	core binding factor beta [Source:MGI Symbol;Acc:MGI:99851]	12400	ENSG00000067955	98.9305	CBFB	core-binding factor subunit beta [Source:HGNC Symbol;Acc:HGNC:1539]	865	ENSMUSP00000059382,ENSMUSP00000105021,ENSMUSP00000105022,ENSMUSP00000105019	ENSMUST00000186070,ENSMUST00000190915,ENSMUST00000052209,ENSMUST00000187323,ENSMUST00000109394,ENSMUST00000109395,ENSMUST00000109392	5161	4099	6570	6845	7252	8846	7030	5096	4867	4438	7861	6704	7662	7851	5984	5239	5072
ENSMUSG00000031886	Ces2e	carboxylesterase 2E [Source:MGI Symbol;Acc:MGI:2443170]	234673	ENSG00000172831	70.8408	CES2	carboxylesterase 2 [Source:HGNC Symbol;Acc:HGNC:1864]	8824	ENSMUSP00000105037,ENSMUSP00000034355	ENSMUST00000109410,ENSMUST00000034355	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
ENSMUSG00000031887	Tradd	TNFRSF1A-associated via death domain [Source:MGI Symbol;Acc:MGI:109200]	71609	ENSG00000102871	77.0968	TRADD	TNFRSF1A associated via death domain [Source:HGNC Symbol;Acc:HGNC:12030]	8717	ENSMUSP00000119174,ENSMUSP00000034359	ENSMUST00000144762,ENSMUST00000034359,ENSMUST00000147670,ENSMUST00000136239	3924	4100	2012	2269	3419	3652	2793	2513	3378	4711	2954	2914	3342	3251	3318	3356	2751
ENSMUSG00000031889	Phaf1	phagosome assembly factor 1 [Source:MGI Symbol;Acc:MGI:2443049]	234678	ENSG00000125149	96.9194	PHAF1	phagosome assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:29564]	80262	ENSMUSP00000119148,ENSMUSP00000034361,ENSMUSP00000123583,ENSMUSP00000119743	ENSMUST00000141957,ENSMUST00000156561,ENSMUST00000034361,ENSMUST00000132964,ENSMUST00000124113,ENSMUST00000133035	1980	1948	1409	1363	1860	2023	1868	1433	1846	1895	2172	1856	2155	2275	2084	2139	1922
ENSMUSG00000031891	Hsd11b2	hydroxysteroid 11-beta dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:104720]	15484	ENSG00000176387	86.7876	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5209]	3291	ENSMUSP00000034363	ENSMUST00000034363	0	0	4	1	2	0	3	10	1	12	5	0	4	14	1	2	17
ENSMUSG00000031893	Tsnaxip1	translin-associated factor X (Tsnax) interacting protein 1 [Source:MGI Symbol;Acc:MGI:1919486]	72236	ENSG00000102904	75.7102	TSNAXIP1	translin associated factor X interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:18586]	55815	ENSMUSP00000148715,ENSMUSP00000034365	ENSMUST00000211949,ENSMUST00000212566,ENSMUST00000034365	3	0	0	16	12	25	12	4	12	10	6	5	8	8	14	6	0
ENSMUSG00000031896	Ctrl	chymotrypsin-like [Source:MGI Symbol;Acc:MGI:88558]	109660	ENSG00000141086	86.3636	CTRL	chymotrypsin like [Source:HGNC Symbol;Acc:HGNC:2524]	1506	ENSMUSP00000034368	ENSMUST00000034368,ENSMUST00000212561	38	63	5	13	7	4	4	22	65	60	14	14	0	17	13	6	1
ENSMUSG00000031897	Psmb10	proteasome (prosome, macropain) subunit, beta type 10 [Source:MGI Symbol;Acc:MGI:1096380]	19171	ENSG00000205220	88.6447	PSMB10	proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]	5699	ENSMUSP00000034369	ENSMUST00000034369,ENSMUST00000212332,ENSMUST00000212686,ENSMUST00000212876,ENSMUST00000212044,ENSMUST00000212595,ENSMUST00000212938	21947	21724	12495	14771	21734	22327	16452	14410	15628	19376	16449	13819	19226	16973	17123	17160	15062
ENSMUSG00000031898	Dpep3	dipeptidase 3 [Source:MGI Symbol;Acc:MGI:1919104]	71854	ENSG00000141096	71.1968	DPEP3	dipeptidase 3 [Source:HGNC Symbol;Acc:HGNC:23029]	64180	ENSMUSP00000034371	ENSMUST00000034371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031901	Dus2	dihydrouridine synthase 2 [Source:MGI Symbol;Acc:MGI:1913619]	66369	ENSG00000167264	90.2637	DUS2	dihydrouridine synthase 2 [Source:HGNC Symbol;Acc:HGNC:26014]	54920	ENSMUSP00000120375,ENSMUSP00000034375,ENSMUSP00000113781	ENSMUST00000142898,ENSMUST00000034375,ENSMUST00000144904,ENSMUST00000141374,ENSMUST00000138524,ENSMUST00000119736	1582	1746	1114	1155	1496	1563	1298	1488	1624	2010	1552	1520	1695	1674	1578	1689	1676
ENSMUSG00000031902	Nfatc3	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3 [Source:MGI Symbol;Acc:MGI:103296]	18021	ENSG00000072736	89.0335	NFATC3	nuclear factor of activated T cells 3 [Source:HGNC Symbol;Acc:HGNC:7777]	4775	ENSMUSP00000104931,ENSMUSP00000148551,ENSMUSP00000148556	ENSMUST00000212671,ENSMUST00000109308,ENSMUST00000212742,ENSMUST00000212936,ENSMUST00000211991,ENSMUST00000212577,ENSMUST00000212691	12031	12346	9953	9904	11876	12208	10589	11277	11977	11622	17160	12681	16758	16523	13435	13084	14967
ENSMUSG00000031903	Pla2g15	phospholipase A2, group XV [Source:MGI Symbol;Acc:MGI:2178076]	192654	ENSG00000103066	88.3495	PLA2G15	phospholipase A2 group XV [Source:HGNC Symbol;Acc:HGNC:17163]	23659	ENSMUSP00000034377,ENSMUSP00000148565	ENSMUST00000212059,ENSMUST00000034377,ENSMUST00000212116,ENSMUST00000212963	2694	2087	1135	1165	1465	1516	1590	1853	1452	1755	1366	1319	1339	1250	1429	1498	1379
ENSMUSG00000031904	Slc7a6	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6 [Source:MGI Symbol;Acc:MGI:2142598]	330836	ENSG00000103064	89.1262	SLC7A6	solute carrier family 7 member 6 [Source:HGNC Symbol;Acc:HGNC:11064]	9057	ENSMUSP00000148693,ENSMUSP00000148353,ENSMUSP00000148620,ENSMUSP00000034378,ENSMUSP00000148794	ENSMUST00000212377,ENSMUST00000212421,ENSMUST00000213020,ENSMUST00000212837,ENSMUST00000211824,ENSMUST00000034378,ENSMUST00000212802	1275	1080	642	697	945	974	954	839	1013	1164	1189	1079	1139	849	856	1091	878
ENSMUSG00000031906	Smpd3	sphingomyelin phosphodiesterase 3, neutral [Source:MGI Symbol;Acc:MGI:1927578]	58994	ENSG00000103056	91.145	SMPD3	sphingomyelin phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:14240]	55512	ENSMUSP00000148282,ENSMUSP00000069255	ENSMUST00000212896,ENSMUST00000067512	588	936	303	181	494	674	465	564	684	858	981	605	1028	712	843	1042	637
ENSMUSG00000031907	Zfp90	zinc finger protein 90 [Source:MGI Symbol;Acc:MGI:104786]	22751	ENSG00000184939	81.761	ZFP90	ZFP90 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:23329]	146198	ENSMUSP00000148457,ENSMUSP00000148833,ENSMUSP00000148744,ENSMUSP00000034382	ENSMUST00000211958,ENSMUST00000212606,ENSMUST00000213045,ENSMUST00000212874,ENSMUST00000034382,ENSMUST00000212866	1096	1480	735	846	1221	1196	1125	1025	1140	1427	1016	847	1173	1185	1127	1425	1009
